dish_name,persons,ingredients
Chicken Karhai,57,"Aaloo, karahi masala, Channay, chicken, chowaray, custard, Daal, Dahi, Garm masala, girri sogi,illaichi, Haleem Masala, Imli, kali mirch, Lemon, Kheeray, Oil, Pakorian, pissa dhania, Piyaaz, Podina, red chilli, rice, sabat dhania, Sabz Dhania, sabz mirch, salt, semian, Sirka, Tamatar, Thoom Adrak, zarda rang, Zeera, egg"
Chicken Biryani,112,"Aaloo, Biryani masala, Channay, chicken, chowaray, kasuri methe, Dara chli, Dahi, Garm masala, girri sogi,illaichi, Haleem Masala, Imli, lemon, mater, Kheeray, Oil, Pakorian, pissa dhania, Piyaaz, Podina, red chilli, rice, sabat dhania, Sabz Dhania, sabz mirch, achar, salt, semian, Sirka, Tamatar, Thoom Adrak, zarda rang, Zeera, egg"
Chicken roast with chips,68,"Aaloo, Biryani masala, Channay, chicken, chowaray, daal, Dara chli, Dahi, Garm masala, girri sogi,illaichi, haldi, Imli, ketchup, lemon, Kheeray, Oil, Pakorian, pissa dhania, Piyaaz, Podina, red chilli, rice, sabat dhania, Sabz Dhania, sabz mirch, Sabzi, salt, semian, Sirka, Tamatar, Thoom Adrak, zarda rang, Zeera, egg"
Chicken karhai,54,"Biryani masala, Channay, chicken, chowaray, custard, Daal, Dahi, Garm masala, girri sogi,illaichi, Haleem Masala, Imli, kali mirch, kheer, Kheeray, Oil, Pakorian, pissa dhania, Piyaaz, Podina, red chilli, lemon, sabat dhania, Sabz Dhania, sabz mirch, Sabzi, salt, semian, Sirka, Tamatar, Thoom Adrak, zarda rang, Zeera, acher, haldi"
Chicken jalfarezi,60,"Aaloo, Biryani masala, Channay, chicken, chowaray, custard, haldai, Dahi, Garm masala, girri sogi,illaichi, Haleem Masala, gajar, shamla, band gobhi, Kheeray, Oil, Pakorian, pissa dhania, Piyaaz, Podina, red chilli, rice, sabat dhania, Sabz Dhania, sabz mirch, Sabzi, salt, semian, Sirka, Tamatar, Thoom Adrak, zarda rang, Zeera, egg"
Chicken Daleem,42,"Aaloo, Biryani masala, Channay, chicken, chowaray, custard, Daal, Dahi, Garm masala, girri sogi,illaichi, Haleem Masala, Imli, kali mirch, haldi, Kheeray, Oil, Pakorian, pissa dhania, Piyaaz, Podina, red chilli, rice, sabat dhania, Sabz Dhania, sabz mirch, Sabzi, salt, semian, Sirka, soya sauce, Tamatar, Thoom Adrak, zarda rang, Zeera, egg, lemon"
Daal Chawal,52,"Aaloo, Biryani masala, masoor mong, chicken, chowaray, custard, Daal, Dahi, Garm masala, girri sogi,illaichi, Haleem Masala, Imli, kali mirch, mater, haldi, Oil, Pakorian, pissa dhania, Piyaaz, Podina, red chilli, rice, sabat dhania, Sabz Dhania, sabz mirch, Sabzi, salt, lemon, Sirka, Tamatar, Thoom Adrak, zarda rang, Zeera, dara mirch, egg"
